id,name,url,price,old_price,brand,city
96031,"RIOBA Шоколад молочный (5г х 160шт), 800г",https://online.metro-cc.ru/products/rioba-porcionnyj-molochnyj-32-kakao-800g,1359.0,1649.0,RIOBA,Санкт-Петербург
90928,"Набор мини-шоколада Ritter Sport Mini 7 вкусов, 1.4кг",https://online.metro-cc.ru/products/ritter-sport-nabor-porcionnogo-mini-14kg,2499.0,2599.0,RITTER SPORT,Санкт-Петербург
208375,"Шоколад Kinder Chocolate молочный 8 порций, 100г",https://online.metro-cc.ru/products/shokolad-molochnyj-kinder-reg-chocolate-s-molochnoj-nachinkoj-100g,176.0,,KINDER,Санкт-Петербург
96030,"RIOBA Шоколад темный (5г х 160шт), 800г",https://online.metro-cc.ru/products/rioba-porcionnyj-temnyj-51-kakao-800g,1599.0,1799.0,RIOBA,Санкт-Петербург
11727958,"RIOBA Мини-шоколад Ассорти 6 вкусов, 800г",https://online.metro-cc.ru/products/800g-mini-shokolad-rioba-assorti-6-vkusov,1359.0,1569.0,RIOBA,Санкт-Петербург
96032,"RIOBA Шоколад горький (5г х 160шт), 800г",https://online.metro-cc.ru/products/rioba-porcionnyj-gorkij-72-kakao-800g,1659.0,1879.0,RIOBA,Санкт-Петербург
147763,"Шоколадное яйцо Kinder Surprise Лицензионная серия, 20г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-iz-molochnogo-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-rozovoe-yajco-20gh36sht,138.0,,KINDER SURPRISE,Санкт-Петербург
123040,"Шоколадное яйцо Kinder Surprise Серия для девочек, 20г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-iz-molochnogo-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-princessy-disnej-20gh36sht,138.0,,KINDER SURPRISE,Санкт-Петербург
223835,Шоколадное яйцо Kinder Surprise 20г,https://online.metro-cc.ru/products/yajco-kinder-syurpriz-iz-molochnogo-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-nbsp-zhivotnye-natoons-20gh36sht,138.0,,KINDER SURPRISE,Санкт-Петербург
528911,"Яйцо шоколадное Kinder Surprise с игрушкой, 220г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-maxi-dlya-malchikov-220g,1859.0,,KINDER SURPRISE,Санкт-Петербург
160242,"Шоколад Lindt Excellence Горький 85% Какао, 100г",https://online.metro-cc.ru/products/lindt-excellence-gorkij-85-100g,315.0,329.0,LINDT,Санкт-Петербург
161159,"Шоколад Бабаевский с шоколадной начинкой, 50г",https://online.metro-cc.ru/products/babaevskij-nachinkoj-50g,69.9,,БАБАЕВСКИЙ,Санкт-Петербург
604988,"Батончик шоколадный Snickers Super, 80г",https://online.metro-cc.ru/products/80g-snickers-super,77.9,94.9,SNICKERS,Санкт-Петербург
184775,"Шоколад Бабаевский со сливочной начинкой, 50г",https://online.metro-cc.ru/products/babaevskij-so-slivochnoj-nachinkoj-50g,59.9,61.9,БАБАЕВСКИЙ,Санкт-Петербург
221499,Батончик шоколадный Twix 55г,https://online.metro-cc.ru/products/twix-40h55g-401986,57.9,,TWIX,Санкт-Петербург
156300,"Батончик шоколадный Mars Max, 81г",https://online.metro-cc.ru/products/art-453148,77.9,94.9,MARS,Санкт-Петербург
428082,"Шоколад Ritter Sport молочный Цельный лесной орех, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-celnyj-lesnoj-oreh-100g,199.0,245.0,RITTER SPORT,Санкт-Петербург
223183,"Батончик Kinder Bueno вафельный в молочном шоколаде 43г x 3шт, 129г",https://online.metro-cc.ru/products/vafli-kinder-nbspbueno-v-molochnom-43gh3sht,292.0,,KINDER BUENO,Санкт-Петербург
11727953,"RIOBA Шоколад Ассорти 4 вкуса, 800г",https://online.metro-cc.ru/products/800g-shokolad-rioba-assorti-4-vkusa,1419.0,1749.0,RIOBA,Санкт-Петербург
189871,Батончик шоколадный Snickers 50г,https://online.metro-cc.ru/products/snickers-c-arahisom-505g,57.9,,SNICKERS,Санкт-Петербург
191565,"Шоколадный батончик Picnic Грецкий орех, с грецким орехом и арахисом 52г",https://online.metro-cc.ru/products/picnic-greckij-oreh-v-upakovke-35h52g-492756,74.9,81.9,PICNIC,Санкт-Петербург
145417,"Батончик шоколадный Milky Way 1+1, 52г",https://online.metro-cc.ru/products/milky-way-1-1-52g,51.9,68.9,MILKY WAY,Санкт-Петербург
637270919,"Набор шоколада Milka молочный фундук 80г клубника 80г карамель 90г, 250г",https://online.metro-cc.ru/products/nabor-shokolada-milka-molochnyy-funduk-80g-klubnika-80g-karamel-90g,439.0,649.0,MILKA,Санкт-Петербург
508713,"Вафли Kinder Bueno White в белом шоколаде, 39г",https://online.metro-cc.ru/products/vafli-kinder-nbspbueno-white-v-belom-39g,108.0,,KINDER BUENO,Санкт-Петербург
75745902,"Батончик шоколадный Snickers Белый, 81г",https://online.metro-cc.ru/products/81g-shokoladnyy-batonchik-snickers-belyy,77.9,94.9,SNICKERS,Санкт-Петербург
